"expression","reading","meaning","tags","guid","meaning_vi"
"清ます","すます","to clear, to make clear, to listen for","JLPT_1 JLPT","gWgE<)O|pN","làm rõ, làm rõ, lắng nghe"
"済ます","すます","to finish; to settle; to do without","JLPT_1 JLPT","BI9b~SlUc1","để kết thúc; giải quyết; làm mà không có"
"すみやか","すみやか","speedy","JLPT_1 JLPT","MC/)GM9mOK","nhanh chóng"
"スラックス","スラックス","slacks","JLPT_1 JLPT","tpKEoAzoEC","quần lửng"
"ずらっと","ずらっと","in a line, in a row","JLPT_1 JLPT","GHI-Z0iw2Q","trong một dòng, trong một hàng"
"ずるずる","ずるずる","dragging on, sound of sniffling","JLPT_1 JLPT","xPdB)weA$j","kéo dài, tiếng sụt sịt"
"ずれ","ずれ","difference, gap","JLPT_1 JLPT","ml<Cz:NIm9","sự khác biệt, khoảng cách"
"すれちがい","すれちがい","chance encounter","JLPT_1 JLPT","h}n%.0]G*]","cơ hội gặp gỡ"
"擦れる","すれる","to rub, to chafe","JLPT_1 JLPT","y1pczASP(>","chà xát, làm phiền"
"すんなり","すんなり","pass with no objection, slim, slender","JLPT_1 JLPT","c{rT9&J2OZ","đi qua không phản đối, thon thả, mảnh khảnh"
"生育","せいいく","growth, development, breeding","JLPT_1 JLPT","A*eQ]~1bJ/","sinh trưởng, phát triển, sinh sản"
"成育","せいいく","growth, raising","JLPT_1 JLPT","A=.t}i>GW3","tăng trưởng, nâng cao"
"成果","せいか","results, fruits","JLPT_1 JLPT","BVYQfcf%9","kết quả, hoa quả"
"正解","せいかい","correct, right answer, solution","JLPT_1 JLPT","Lt;.HzCJ&F","đúng, đáp án đúng, giải pháp"
"正義","せいぎ","justice, right, righteousness","JLPT_1 JLPT","C*lSCCu$Is","công lý, lẽ phải, lẽ phải"
"生計","せいけい","livelihood, living","JLPT_1 JLPT","sFe^vK-tW[","sinh kế, cuộc sống"
"政権","せいけん","(political) administration, political power","JLPT_1 JLPT","ySl]BBHxv|","(chính trị) sự quản lý, quyền lực chính trị"
"星座","せいざ","constellation","JLPT_1 JLPT","v8-]C(eL~-","chòm sao"
"制裁","せいさい","restraint, sanctions, punishment","JLPT_1 JLPT","&>5Y-0M,/","kiềm chế, trừng phạt, trừng phạt"
"政策","せいさく","political measures, policy","JLPT_1 JLPT","hAD&H|lfX,","biện pháp chính trị, chính sách"
"生死","せいし","life and death","JLPT_1 JLPT","[jWyFv3NW","sự sống và cái chết"
"静止","せいし","stillness, repose, standing still","JLPT_1 JLPT","o*g2}G_T7@","sự tĩnh lặng, nghỉ ngơi, đứng yên"
"誠実","せいじつ","sincere, honest, faithful","JLPT_1 JLPT","bL3/~B_@Jx","chân thành, trung thực, trung thành"
"成熟","せいじゅく","maturity, ripeness","JLPT_1 JLPT","mi&AvT*VW%","sự trưởng thành, sự chín muồi"
"青春","せいしゅん","youth, springtime of life, adolescent","JLPT_1 JLPT","r1RCkb<y|$","tuổi trẻ, mùa xuân của cuộc đời, tuổi thanh xuân"
"清純","せいじゅん","purity, innocence","JLPT_1 JLPT","ONr5>]A5d|","sự thuần khiết, sự ngây thơ"
"聖書","せいしょ","Bible","JLPT_1 JLPT","Q@S9S%oEQ1","Kinh Thánh"
"正常","せいじょう","normalcy, normality, normal","JLPT_1 JLPT","wA-k/9L$M{","sự bình thường, sự bình thường, sự bình thường"
"制する","せいする","to control, to command","JLPT_1 JLPT","rf}l5O&Iya","để kiểm soát, ra lệnh"
"整然","せいぜん","orderly, regular, well-organized","JLPT_1 JLPT","PN>H*K1;6z","có trật tự, đều đặn, được tổ chức tốt"
"盛装","せいそう","be dressed up, wear rich clothes","JLPT_1 JLPT","NT,a6{jkV^","ăn diện, mặc quần áo sang trọng"
"盛大","せいだい","grand, prosperous, magnificent","JLPT_1 JLPT","oA#/^#fynU","vĩ đại, thịnh vượng, tráng lệ"
"清濁","せいだく","good and evil, purity and impurity","JLPT_1 JLPT","LIBty_QSI!","thiện và ác, thanh tịnh và ô uế"
"制定","せいてい","enactment, establishment, creation","JLPT_1 JLPT","w/{{PKSO-l","ban hành, thành lập, sáng tạo"
"静的","せいてき","static","JLPT_1 JLPT","qS/}NK^[E0","tĩnh"
"製鉄","せいてつ","iron manufacture","JLPT_1 JLPT","q1#~15/jx^","sản xuất sắt"
"晴天","せいてん","fine weather","JLPT_1 JLPT","O`AKp9t/nh","thời tiết đẹp"
"正当","せいとう","just, due, proper","JLPT_1 JLPT","KYfFW0c&^H","đúng, đúng hạn, thích hợp"
"制服","せいふく","uniform","JLPT_1 JLPT","KjpnwgIuCJ","đồng phục"
"征服","せいふく","conquest, subjugation, overcoming","JLPT_1 JLPT","UI+/g3/T<","chinh phục, chinh phục, vượt qua"
"製法","せいほう","manufacturing method, recipe, formula","JLPT_1 JLPT","r$Viif`6:S","phương pháp sản xuất, công thức, công thức"
"精密","せいみつ","precise, exact, detailed, minute","JLPT_1 JLPT","k?w!_L!izK","chính xác, chính xác, chi tiết, từng phút"
"税務署","ぜいむしょ","tax office","JLPT_1 JLPT","cu&VjhU0YM","cơ quan thuế"
"制約","せいやく","limitation, constraints","JLPT_1 JLPT","eGs}Rjdjyu","hạn chế, hạn chế"
"勢力","せいりょく","influence, power, might, strength","JLPT_1 JLPT","jCKk=3Gx//","ảnh hưởng, quyền lực, sức mạnh, sức mạnh"
"整列","せいれつ","stand in a row, form a line","JLPT_1 JLPT","K=?{2[EdLY","đứng thành một hàng, tạo thành một hàng"
"セール","セール","sale","JLPT_1 JLPT","bTb.7j.bY0","doanh thu"
"急かす","せかす","to hurry, to urge on","JLPT_1 JLPT","r25!gS/G>A","vội vã, thúc giục"
"伜","せがれ","son, my son","JLPT_1 JLPT","CVmDxN*tGx","con trai, con trai tôi"
"責務","せきむ","duty, obligation","JLPT_1 JLPT","ct_SCVUYk9","nghĩa vụ, nghĩa vụ"
"セクション","セクション","section","JLPT_1 JLPT","oE+>)~hYZ>","phần"
"世辞","せじ","flattery, compliment","JLPT_1 JLPT","i2*b#^+2.G","nịnh nọt, khen ngợi"
"世帯","せたい","household","JLPT_1 JLPT","M;wkDh)_[-","hộ gia đình"
"是正","ぜせい","correction, revision","JLPT_1 JLPT","r4z<%];90$","sửa chữa, sửa đổi"
"世代","せだい","generation","JLPT_1 JLPT","vXhkxYs)ro","thế hệ"
"切開","せっかい","opening up, cutting through","JLPT_1 JLPT","j3{#e(JGO?","mở ra, cắt ngang"
"セックス","セックス","sex","JLPT_1 JLPT","p^XJZeb_m$","tình dục"
"切実","せつじつ","compelling, serious, severe, acute","JLPT_1 JLPT","b(%wDAP,4<","hấp dẫn, nghiêm túc, gay gắt, gay gắt"
"接触","せっしょく","touch, contact","JLPT_1 JLPT","euP9o6khjK","chạm, tiếp xúc"
"接続詞","せつぞくし","conjunction","JLPT_1 JLPT","jxx/dj^^[F","sự liên kết"
"設置","せっち","establishment, institution","JLPT_1 JLPT","dTa#ev1!lY","sự thành lập, cơ quan"
"折衷","せっちゅう","compromise, cross, blending, eclecticism","JLPT_1 JLPT","z.Jdo5|UwK","thỏa hiệp, chéo, pha trộn, chủ nghĩa chiết trung"
"設定","せってい","establishment, creation","JLPT_1 JLPT","EL[q3!y3K%","sự thành lập, sự sáng tạo"
"説得","せっとく","persuasion","JLPT_1 JLPT","p@nzS4e%Pe","sự thuyết phục"
"切ない","せつない","painful, trying, sad","JLPT_1 JLPT","Op2N@ZY@PL","đau đớn, cố gắng, buồn bã"
"絶版","ぜっぱん","out of print","JLPT_1 JLPT","wscau>2!!B","hết bản in"
"設立","せつりつ","establishment, foundation, institution","JLPT_1 JLPT","nV|*LLs6}!","sự thành lập, cơ sở, cơ quan"
"攻め","せめ","attack, offense","JLPT_1 JLPT","lp+Bg:0JY+","tấn công, xúc phạm"
"ゼリー","ゼリー","jelly","JLPT_1 JLPT","pUMI]4pC]5","thạch"
"セレモニー","セレモニー","ceremony","JLPT_1 JLPT","ElF~:n|$Dm","lễ"
"世論","せろん","public opinion","JLPT_1 JLPT","cn7+uG:k{Q","dư luận"
"先","せん","priority, precedence, previous","JLPT_1 JLPT","K[s:+C@-V{","ưu tiên, ưu tiên, trước đó"
"繊維","せんい","fiber, fiber, textile","JLPT_1 JLPT","IoI]vI^@?E","chất xơ, chất xơ, dệt may"
"全快","ぜんかい","complete recovery of health","JLPT_1 JLPT","jMG%U5Y*b]","phục hồi sức khỏe hoàn toàn"
"宣教","せんきょう","religious mission","JLPT_1 JLPT","t2!m+EN<kt","sứ mệnh tôn giáo"
"宣言","せんげん","declaration, proclamation, announcement","JLPT_1 JLPT","N*Sn3]6F}u","tuyên bố, tuyên bố, thông báo"
"戦災","せんさい","war damage","JLPT_1 JLPT","g*>*T{UX8V","thiệt hại chiến tranh"
"専修","せんしゅう","specialization","JLPT_1 JLPT","iF/[EjL/PH","chuyên môn hóa"
"戦術","せんじゅつ","tactics","JLPT_1 JLPT","fClOu9u4S.","chiến thuật"
"センス","センス","sense (for music, style, tact, etc.)","JLPT_1 JLPT","kOf@Kc#S!?","giác quan (về âm nhạc, phong cách, sự khéo léo, v.v.)"
"潜水","せんすい","diving","JLPT_1 JLPT","kXmApIVn4{","lặn"
"全盛","ぜんせい","height of prosperity","JLPT_1 JLPT","PA4!?*R&)6","đỉnh cao thịnh vượng"
"先代","せんだい","family predecessor, previous age, previous generation","JLPT_1 JLPT","A@$Xh`C*#q","gia đình tiền nhiệm, thế hệ trước, thế hệ trước"
"先だって","せんだって","recently, the other day","JLPT_1 JLPT","bpeAMs`g=B","gần đây, ngày nọ"
"先着","せんちゃく","first arrival","JLPT_1 JLPT","s5`[<)lze/","lần đầu tiên đến"
"前提","ぜんてい","preamble, premise, prerequisite","JLPT_1 JLPT","M^(]5)Q28q","lời mở đầu, tiền đề, điều kiện tiên quyết"
"先天的","せんてんてき","inherent, congenital, hereditary","JLPT_1 JLPT","e8-*cxos*(","vốn có, bẩm sinh, di truyền"
"前途","ぜんと","future prospects, outlook, the journey ahead","JLPT_1 JLPT","rUv_dSLlLH","triển vọng tương lai, triển vọng, hành trình phía trước"
"戦闘","せんとう","battle, fight, combat","JLPT_1 JLPT","LE#Z8!)h7>","trận chiến, chiến đấu, chiến đấu"
"潜入","せんにゅう","infiltration, sneaking in","JLPT_1 JLPT","jwMP<D<nu+","sự xâm nhập, lẻn vào"
"船舶","せんぱく","ship","JLPT_1 JLPT","yT?Wj-:Bft","tàu thủy"
"全滅","ぜんめつ","annihilation","JLPT_1 JLPT","gs]{cpbeS;","sự hủy diệt"
"専用","せんよう","exclusive use, personal use","JLPT_1 JLPT","E|;c&Jmrd8","sử dụng riêng, sử dụng cá nhân"
"占領","せんりょう","occupation, possession, have a room to oneself","JLPT_1 JLPT","N-V{tXojX`","sự chiếm hữu, sự chiếm hữu, có một căn phòng cho riêng mình"
"善良","ぜんりょう","goodness, excellence, virtue","JLPT_1 JLPT","eGNEV*g</#","lòng tốt, sự xuất sắc, đức hạnh"
"戦力","せんりょく","war potential","JLPT_1 JLPT","jsYNJMtfV.","tiềm năng chiến tranh"
"前例","ぜんれい","precedent","JLPT_1 JLPT","z6IRT7DoRm","tiền lệ"
"相応","そうおう","suitability, fitness","JLPT_1 JLPT","Cm`/n`5$^$","sự phù hợp, sự phù hợp"
"総会","そうかい","general meeting","JLPT_1 JLPT","v.Q]y8[=}p","cuộc họp chung"
"創刊","そうかん","launching (e.g., newspaper, first issue)","JLPT_1 JLPT","k7n}7cIr>q","ra mắt (ví dụ: tờ báo, số đầu tiên)"
"雑木","ぞうき","various kinds of small trees, assorted trees","JLPT_1 JLPT","K-dqvXawa`","các loại cây nhỏ, cây các loại"
"早急","そうきゅう","urgent","JLPT_1 JLPT","xFEe8[1r^m","cấp bách"
"早急","さっきゅう","urgent","JLPT_1 JLPT","n`GeYo>FBk","cấp bách"
"増強","ぞうきょう","reinforce, increase","JLPT_1 JLPT","rV,>ZZ=T]Q","củng cố, tăng cường"
"送金","そうきん","remittance, sending money","JLPT_1 JLPT","bDXNFraL0R","chuyển tiền, gửi tiền"
"走行","そうこう","running a wheeled vehicle (e.g., car, traveling)","JLPT_1 JLPT","E{T/IqjEfE","chạy xe có bánh (ví dụ: ô tô, đi du lịch)"
"総合","そうごう","synthesis, generalization","JLPT_1 JLPT","nY;2hmT##_","tổng hợp, khái quát hóa"
"捜索","そうさく","search (esp. for someone or something missing, investigation)","JLPT_1 JLPT","Q:2J1qwTVc","tìm kiếm (đặc biệt là tìm ai đó hoặc thứ gì đó bị mất tích, điều tra)"
"蔵相","ぞうしょう","Minister of Finance","JLPT_1 JLPT","fn1-ZB(4T-","Bộ trưởng Bộ Tài chính"
"装飾","そうしょく","ornament","JLPT_1 JLPT","QA)=&Wj6HM","vật trang trí"
"増進","ぞうしん","promoting, increase, advance","JLPT_1 JLPT","IZpN7AL;vh","thúc đẩy, tăng cường, thăng tiến"
"相対","そうたい","relative","JLPT_1 JLPT","I!n?!w[?BY","liên quan đến"
"壮大","そうだい","magnificent, grand, majestic","JLPT_1 JLPT","mVUTF,w/3&","tráng lệ, vĩ đại, hùng vĩ"
"騒動","そうどう","strife, riot, rebellion","JLPT_1 JLPT","f=viWAh8g@","xung đột, bạo loạn, nổi loạn"
"遭難","そうなん","disaster, shipwreck, accident","JLPT_1 JLPT","E:/^OnBk`","thiên tai, đắm tàu, tai nạn"
"相場","そうば","market price, speculation, estimation","JLPT_1 JLPT","sA7SWg(`IK","giá thị trường, suy đoán, ước tính"
"装備","そうび","equipment","JLPT_1 JLPT","k;e~1ueRAo","thiết bị"
"創立","そうりつ","establishment, founding","JLPT_1 JLPT","jki@VUPP0r","sự thành lập, sự thành lập"
"添える","そえる","to add to, to attach, to accompany","JLPT_1 JLPT","h,nxD[s(P9","thêm vào, đính kèm, đi kèm"
"ソース","ソース","source","JLPT_1 JLPT","tTpwt)2AmK","nguồn"
"即座に","そくざに","immediately, right away","JLPT_1 JLPT","P;B^M<8:(U","ngay lập tức, ngay lập tức"
"促進","そくしん","promotion, acceleration, encouragement","JLPT_1 JLPT","qh4@1q0m.W","thăng chức, tăng tốc, khuyến khích"
"即する","そくする","to conform to, to agree with, to be adapted to,","JLPT_1 JLPT","t:DoS~nc0!","phù hợp với, đồng ý với, thích nghi với,"
"束縛","そくばく","restraint, restriction, confinement","JLPT_1 JLPT","l|/yaf0Kt?","sự hạn chế, sự hạn chế, sự giam giữ"
"側面","そくめん","side, sidelight, lateral","JLPT_1 JLPT","g+c1Ex)t~@","bên, đèn bên, bên"
"損う","そこなう","to harm, to hurt","JLPT_1 JLPT","lT+Npb!3tv","làm tổn thương, làm tổn thương"
"そこら","そこら","everywhere, somewhere","JLPT_1 JLPT","sWp/2)qrjX","ở mọi nơi, ở đâu đó"
"素材","そざい","raw materials, subject matter","JLPT_1 JLPT","k+jer~`){}","nguyên liệu, chủ đề"
"阻止","そし","obstruction, check, hindrance","JLPT_1 JLPT","H_Bg*f2w~u","cản trở, kiểm tra, cản trở"
"訴訟","そしょう","litigation, lawsuit","JLPT_1 JLPT","r473?K:c)w","kiện tụng, kiện tụng"
"育ち","そだち","breeding, growth","JLPT_1 JLPT","I7y!o0nH<>","sinh sản, tăng trưởng"
"措置","そち","measure, step","JLPT_1 JLPT","wm=Ne<1R~K","thước, bước"
"ソックス","ソックス","socks","JLPT_1 JLPT","bW`v0lIx&{","vớ"
"素っ気無い","そっけない","cold, short, curt, blunt","JLPT_1 JLPT","m@~(NcJuf8","lạnh lùng, ngắn gọn, cộc lốc, thẳng thừng"
"外方","そっぽ","look (or turn) the other way","JLPT_1 JLPT","mx1|xYC`zo","nhìn (hoặc rẽ) theo hướng khác"
"備え付ける","そなえつける","to provide, to equip, to install","JLPT_1 JLPT","?a*256zVd","cung cấp, trang bị, lắp đặt"
"備わる","そなわる","to be furnished with","JLPT_1 JLPT","f0#k].O9>M","được trang bị"
"具わる","そなわる","to be furnished with","JLPT_1 JLPT","hS*=fc5g`d","được trang bị"
"聳える","そびえる","to rise, to tower, to soar","JLPT_1 JLPT","N#XbC.4.6E","tăng lên, lên tháp, bay lên"
"素朴","そぼく","simplicity, artlessness, naivety","JLPT_1 JLPT","i)~;{+Y_4I","sự đơn giản, hồn nhiên, ngây thơ"
"背く","そむく","to run counter to, to go against","JLPT_1 JLPT","lwG+$Mpa}3","chạy ngược lại, đi ngược lại"
"染まる","そまる","to be dyed","JLPT_1 JLPT","D^_/a/#sXJ","được nhuộm"
"染める","そめる","to dye, to color","JLPT_1 JLPT","u,7!Dp;dsk","nhuộm, nhuộm màu"
"そらす","そらす","to bend, to warp","JLPT_1 JLPT","O/=U<S;HO[","uốn cong, làm cong"
"そり (～にのる)","そり (～にのる)","sleigh, sled","JLPT_1 JLPT","oD<qmOFt48","xe trượt tuyết, xe trượt tuyết"
"反る","そる","to warp, to be warped, to curve","JLPT_1 JLPT","IJaW-#q2K8","làm cong, làm cong, làm cong"
"それゆえ","それゆえ","therefore, for that reason, so","JLPT_1 JLPT","fd1U3Eqd0z","do đó, vì lý do đó, vì vậy"
"ソロ","ソロ","solo","JLPT_1 JLPT","r<H?#?:lfS","một mình"
"揃い","そろい","set, suit, uniform","JLPT_1 JLPT","d$?[e]vP*A","bộ, bộ đồ, đồng phục"
"ぞんざい","ぞんざい","rude, careless, slovenly","JLPT_1 JLPT","IV/~qgGGDy","thô lỗ, bất cẩn, cẩu thả"
"損失","そんしつ","loss","JLPT_1 JLPT","q}vnE8Gq;U","sự mất mát"
"存続","そんぞく","duration, continuance","JLPT_1 JLPT","k--fc+@]/s","thời gian, sự tiếp tục"
"ダース","ダース","dozen","JLPT_1 JLPT","LJ)2+[0^`@","tá"
"対応","たいおう","dealing with","JLPT_1 JLPT","KZnf.&v={U","đối phó với"
"大家","たいか","rich family, distinguished family","JLPT_1 JLPT","Nrwns(8SbS","gia đình giàu có, gia đình danh giá"
"退化","たいか","degeneration, retrogression","JLPT_1 JLPT","gPs^-F*IXX","thoái hóa, thoái hóa"
"大概","たいがい","in general, mainly","JLPT_1 JLPT","h9/$[pq28V","nói chung chủ yếu là"
"体格","たいかく","physique, constitution","JLPT_1 JLPT","F<F1njV;[$","thể chất, thể chất"
"大金","たいきん","large amount of money","JLPT_1 JLPT","m_p4U|6#<L","số tiền lớn"
"待遇","たいぐう","treatment, reception","JLPT_1 JLPT","F5l%#d#e`l","điều trị, tiếp nhận"
"対決","たいけつ","confrontation, showdown","JLPT_1 JLPT","sKn[*vv=gw","sự đối đầu, sự đối đầu"
"体験","たいけん","personal experience","JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese","o%)Oc|W=Ka","kinh nghiệm cá nhân"
"対抗","たいこう","opposition, antagonism","JLPT_1 JLPT","Rd@pS:`}f/","sự đối lập, sự đối kháng"
"退治","たいじ","extermination","JLPT_1 JLPT","pC*Xx^dBSu","sự tiêu diệt"
"大衆","たいしゅう","general public","JLPT_1 JLPT","nog=kohV~>","công chúng"
"対処","たいしょ","deal with, cope","JLPT_1 JLPT","yMT#3SVsQ>","giải quyết, đối phó"
"退職","たいしょく","retirement (from office)","JLPT_1 JLPT","zj2z79]QG@","nghỉ hưu (từ chức vụ)"
